="rsp-5256401-00015149 rev. 1: Visualizzazione struttura"
=" Visualizza:ParserView"
, , , , ,
Level,Titolo,Nome,Contenuto,Stato,
6,Requirement00709768,="req-5256401-00709768","WHILE DILCStatus is ""Available_Idle""
AND the time since the previous RequestToIntitiateLaneChange is greater than [Target 1 = 1s]
WHEN the DirectionIndicatorStalkPostition changes to""Tipped_Left""
THEN within [CAL_Double_tip_threshold] the DirectionIndicatorStalkPostition  changes from ""None"" to ""Tipped_Left""
 THEN within [Target_Network_delay] the DirectionIndicatorLampStatus is ""Left""
the DADC_JLR shall set the RequestToIntitiateLaneChange to ""toLeft""",In corso,
6,Requirement00709786,="req-5256401-00709786","WHILE RequestToIntitiateLaneChange is ""toLeft"" OR ""toRight""
WHEN VerifyInitiateLaneChange is ""Success""
the DADC_JLR shall set the RequestToIntitiateLaneChange to ""NoRequest""",In corso,
5,="[PID-11434] Determine Driver Initiated Assisted Lane Change Status (VAL)",="chp-5256401-00383222", ,In corso,
6,"Transitions to ""Off"" State",="chp-5256401-00383589", ,In corso,
7,Requirement00710564,="req-5256401-00710564","WHILE DILCStatus == ""Not Fitted""

WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
7,Requirement00710576,="req-5256401-00710576","WHILE: 


	DILCStatus == ""Disabled"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
7,Requirement00710578,="req-5256401-00710578",,In corso,
7,Requirement00710582,="req-5256401-00710582",,In corso,
7,Requirement00710591,="req-5256401-00710591","WHILE: 


	DILCStatus == ""Inoperable"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
7,Requirement00710597,="req-5256401-00710597","WHILE: 


	DILCStatus == ""Fault"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
7,Requirement00710598,="req-5256401-00710598","WHILE: 


	DILCStatus == ""Inoperable"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
7,Requirement00710600,="req-5256401-00710600","WHILE: 


	DILCStatus == ""Speed_Adapting_Left"" AND
	VehicleState == ""Comfort"" OR ""Running""



WHEN: VehicleState == ""Duty"" OR ""Sleep"" OR"" Not_Used"" OR ""Precondition"" OR ""Reserve_BS_C"" OR ""Reserve_LSS_C"" OR ""Reserve_BS_R"" OR ""Reserve_LSS_R"" OR ""Restricted"" OR ""Remote"" OR ""State_Limp"" 

THEN DADC_JLR shall set DILCStatus to ""Off""",In corso,
