,Type,Date,Amount,Description,Labels
2015,income,2025-08-25,0.06,To Instant Access Savings,['Investimenti&Risparmi']
2016,income,2025-08-26,0.08,Interest earned - Instant Access Savings,['Interessi']
2017,income,2025-08-27,0.09,Interest earned - Instant Access Savings,['Interessi']
2018,income,2025-08-27,2.55,To Instant Access Savings,['Investimenti&Risparmi']
2019,income,2025-08-27,3.0,To Instant Access Savings,['Investimenti&Risparmi']
2020,income,2025-08-28,0.09,Interest earned - Instant Access Savings,['Interessi']
2021,income,2025-08-29,0.08,Interest earned - Instant Access Savings,['Interessi']
2022,income,2025-08-29,1.53,To Instant Access Savings,['Investimenti&Risparmi']
2023,income,2025-08-29,20.0,To Instant Access Savings,['Investimenti&Risparmi']
2024,income,2025-08-29,0.06,To Instant Access Savings,['Investimenti&Risparmi']
2025,income,2025-08-29,1.8,To Instant Access Savings,['Investimenti&Risparmi']
2026,income,2025-08-29,1.5,To Instant Access Savings,['Investimenti&Risparmi']
2027,income,2025-08-30,0.09,Interest earned - Instant Access Savings,['Interessi']
2028,income,2025-08-30,3.0,To Instant Access Savings,['Investimenti&Risparmi']
2029,income,2025-08-30,3.0,To Instant Access Savings,['Investimenti&Risparmi']
2030,income,2025-08-30,3.0,To Instant Access Savings,['Investimenti&Risparmi']
2031,income,2025-08-31,3.0,To Instant Access Savings,['Investimenti&Risparmi']
2032,income,2025-08-31,3.0,To Instant Access Savings,['Investimenti&Risparmi']
2033,income,2025-08-31,0.09,Interest earned - Instant Access Savings,['Interessi']
2034,income,2025-08-31,2.13,To Instant Access Savings,['Investimenti&Risparmi']
2035,income,2025-08-31,0.03,To Instant Access Savings,['Investimenti&Risparmi']
2036,income,2025-01-09,0.09,Interest earned - Instant Access Savings,['Interessi']
2037,income,2025-02-09,0.09,Interest earned - Instant Access Savings,['Interessi']
2038,income,2025-03-09,0.09,Interest earned - Instant Access Savings,['Interessi']
2039,income,2025-04-09,0.08,Interest earned - Instant Access Savings,['Interessi']
2040,income,2025-04-09,2.46,To Instant Access Savings,['Investimenti&Risparmi']
2041,income,2025-04-09,0.57,To Instant Access Savings,['Investimenti&Risparmi']
2042,income,2025-04-09,0.03,To Instant Access Savings,['Investimenti&Risparmi']
2043,income,2025-05-09,0.09,Interest earned - Instant Access Savings,['Interessi']
2044,income,2025-05-09,20.0,To Instant Access Savings,['Investimenti&Risparmi']
2045,income,2025-05-09,1.5,To Instant Access Savings,['Investimenti&Risparmi']
2046,income,2025-05-09,3.0,To Instant Access Savings,['Investimenti&Risparmi']
2047,income,2025-05-09,1.5,To Instant Access Savings,['Investimenti&Risparmi']
2048,income,2025-06-09,0.09,Interest earned - Instant Access Savings,['Interessi']
2049,income,2025-06-09,2.37,To Instant Access Savings,['Investimenti&Risparmi']
2050,income,2025-06-09,0.18,To Instant Access Savings,['Investimenti&Risparmi']
2051,income,2025-06-09,1.2,To Instant Access Savings,['Investimenti&Risparmi']
2052,income,2025-06-09,3.0,To Instant Access Savings,['Investimenti&Risparmi']
2053,income,2025-06-09,0.75,To Instant Access Savings,['Investimenti&Risparmi']
2054,income,2025-06-09,2.55,To Instant Access Savings,['Investimenti&Risparmi']
2055,income,2025-06-09,3.0,To Instant Access Savings,['Investimenti&Risparmi']
2056,income,2025-07-09,0.09,Interest earned - Instant Access Savings,['Interessi']
2057,income,2025-07-09,3.0,To Instant Access Savings,['Investimenti&Risparmi']
2058,income,2025-07-09,3.0,To Instant Access Savings,['Investimenti&Risparmi']
2059,income,2025-07-09,1.5,To Instant Access Savings,['Investimenti&Risparmi']
